time,PM10,T2,rh2,slp,PBLH,wind_speed_10m,wind_speed_925hPa,WIND_DIR,RAIN
1960-06-16,3418.6057,306.9496,45.727036,1007.59283,870.9295,2.754931,4.598393,SW,1
1960-06-17,1573.1041,307.18347,36.024475,1007.0629,795.35376,1.2605853,2.6656742,NW,1
1960-06-18,2141.5051,307.93158,20.533573,1006.0131,894.7343,3.0558681,5.4023848,NE,1
1960-06-19,3538.4202,308.937,13.163714,1003.8067,877.09924,6.775355,14.458181,NE,1
1960-06-20,3696.9995,304.09653,44.560604,1005.14307,414.92657,5.5990486,9.059721,SW,1
1960-06-21,1639.381,303.72635,57.3643,1007.7683,884.8932,3.521827,5.796809,SW,1
1960-06-22,1685.7413,305.5012,46.694813,1007.1485,939.6653,5.123385,7.631827,SW,1
1960-06-23,2113.5225,307.40625,37.178688,1004.5459,670.8864,3.091072,4.405761,SW,1
1960-06-24,2481.4314,306.62808,41.722095,1005.3533,800.26355,3.8568015,4.9510217,SW,1
1960-06-25,2449.4407,308.85187,18.220617,1004.3444,675.2487,4.280915,8.80363,NE,1
1960-06-26,3964.8909,309.69586,14.887234,1004.13794,793.9945,6.691966,13.782869,NE,1
1960-06-27,1899.7251,307.38153,41.431984,1005.7509,716.0736,3.5442379,4.1179714,SW,1
1960-06-28,1114.2568,307.75757,36.771526,1006.383,585.06903,2.5494199,4.633473,NW,1
1960-06-29,1745.4252,308.3758,18.170862,1004.323,516.14777,3.8351555,8.697675,NE,1
1960-06-30,3804.6436,307.39767,35.8311,1004.2715,518.6643,2.3860624,1.2555871,SW,1
1960-07-01,706.34,310.08585,16.733877,1003.0972,571.50226,4.3755875,6.8032613,NE,0
1960-07-02,2436.6995,304.67252,56.27437,1006.3114,863.7093,6.3755875,7.262172,SE,1
1960-07-03,758.7244,303.75098,53.55278,1007.3579,796.5183,2.8681924,2.7232072,SW,1
1960-07-04,1130.8522,306.4038,37.29315,1004.5742,626.47614,0.8565199,1.885043,NW,1
1960-07-05,1739.5355,307.4731,14.595229,1001.63446,356.14987,1.8487984,10.482462,NE,1
1960-07-06,4791.364,306.79504,42.15876,1001.4675,732.8341,4.400368,5.7007174,SW,1
1960-07-07,1879.269,303.04742,60.014183,1006.1557,822.14044,6.6602817,8.933797,SE,1
1960-07-08,850.223,301.58673,58.95202,1011.99445,816.40564,3.729445,7.1733437,SE,1
1960-07-09,1318.9526,305.99487,44.021675,1008.9355,890.2199,5.8613977,9.59879,NW,1
1960-07-10,2446.265,307.82053,29.135124,1004.9672,612.28687,2.6595595,6.583575,NW,1
1960-07-11,1113.489,307.06403,17.89439,1003.1265,402.26697,2.505621,4.2705307,NE,1
1960-07-12,1998.9554,306.62933,38.605415,1003.8817,839.56445,3.1578174,5.886504,SW,1
1960-07-13,2412.7246,306.4555,45.94003,1006.23395,787.9943,5.5731993,7.5863028,SW,1
1960-07-14,1422.1459,299.018,83.93247,1008.2361,366.07678,3.4900732,5.902452,SW,2
1960-07-15,403.4537,301.01898,72.32026,1009.4544,726.9769,3.7017162,5.5925255,SW,2
1960-07-16,335.20242,303.82162,57.752514,1008.43616,862.4192,1.9767107,1.7386745,SW,2
1960-07-17,385.59857,305.38293,50.687134,1007.2742,907.2707,2.0292926,1.2123024,SW,2
1960-07-18,736.0431,303.51758,58.766304,1008.87537,767.2985,4.8225036,5.7666006,SW,2
1960-07-19,809.61884,303.21732,58.87171,1009.13135,764.6663,5.0069904,6.577806,SW,2
1960-07-20,852.9118,304.5926,53.92369,1006.69495,644.5646,5.502712,6.3060565,SW,2
1960-07-21,1189.4866,305.56186,51.429935,1006.8833,769.2842,4.7868743,5.980844,SW,2
1960-07-22,1350.4939,304.78934,53.57178,1007.7357,715.22156,6.561204,9.0003395,SW,2
1960-07-23,1171.609,305.1161,53.529358,1007.3542,698.34863,5.413205,8.570482,SW,2
1960-07-24,1741.2897,307.36737,41.389523,1004.449,773.96814,1.7869148,6.0290174,NW,2
1960-07-25,2920.5176,306.19943,51.067627,1004.5086,789.50525,4.3919206,5.3141403,SW,2
1960-07-26,2095.1135,303.3512,62.767303,1007.6338,680.3686,6.7960978,8.525397,SW,2
1960-07-27,574.94366,303.31506,62.590908,1008.98737,713.1061,3.983393,5.1005735,SW,2
1960-07-28,938.0939,303.89148,58.66233,1008.1544,557.77423,6.331621,8.363124,SW,2
